,id,alg
0,1703.01887,"
\caption{Cooperative neuroevolution  }
\small
\label{ccframework}
\begin{algorithmic}

\STATE \textbf{Step 1:} Decompose the problem   (neuron  or synapse level 
decomposition)
 
\STATE \textbf{Step 2:} Initialise and cooperatively evaluate each 
sub-population\\

\FOR{  each \textit{cycle} until termination }
   \FOR{ each Sub-population}   
     \FOR{  $n$ Generations}
\STATE i) Select and create new offspring 

\STATE ii) Cooperatively evaluate the new offspring 

\STATE iii) Update sub-population\\


 


\ENDFOR
 
 \ENDFOR
 \ENDFOR
  
\end{algorithmic}
"
1,1703.01887,"[!htb]
\smaller
 \KwData{Requires input  $\Psi_{m} $  taken from data 
$\Sigma$ for respective subtasks $\theta_m$.}
 \KwResult{  Prediction error $E$ for dynamic time series  } 
 
 %$\Phi_1  = [\omega_1, \upsilon_1]$.
 
 \For{  each   module $m$   }{

 
 1. Assign fixed depth of search  $\beta$ that defines the 
number of 
generation of evolution for each subcomponent $S_{m}$;  (eg.  $\beta = 5$ )

   2. Define the weight space (input - hidden and hidden - output layer) for 
the different subtasks $\theta_m$ defined by the respective network module 
$\Phi_m  = [\omega_m, \upsilon_m]$.\; 


3. Create $X_m$ vector of subtask solutions from $\Theta_m$.  Note 
that the size of  $X_m$ depends on number of  network module considered in the 
subtask.
 
  4. Initialise  genotype of  the sub-populations 
$S_{m_j}$  given by $j$ individuals in a range $[-\alpha, \alpha]$ drawn from 
a uniform distribution  where $\alpha$ defines the range.    
 }


 \While{each phase until termination }{
 
 
 \For{each subtask $m$ }{
 
  
 
 \For{each generation until $\beta$}{  
  

\For{  each Individual $j$ in subpopulation $\Pi_{i,j}$   }{
** Stage 1:\\
 * Assign $B_m$ as  best  individual for subtask $m$ from subpopulation 
$\Pi_{i,j}$ \\
 \If{$m ==1 $}{
  *  Get the current  individual from  subpopulation; $V_1   = 
\Pi_{i,j}$ where     $i$ includes all    the  
variables (weights).  Assign the current individual as $X_1 = V_1$

 }
 \Else{
 *   Get the current   individual from  subpopulation; $V_m  = 
\Pi_{i,j}$. Append  the current subtask solution   with best solutions 
from previous subtasks, $X_{m} = [B_1,...,  B_{m-1}, V_m]$
where $B$ is the best individual from previous subtask and $V$ is the current 
individual that needs to be evaluated. 




}
 ** Stage 2:\\
* Execute Algorithm \ref{alg:two}: This will encode the $X_{m}$ into knowledge
modules 
 $ \Phi=(\Phi_1,\ldots,\Phi_M) $ for subtasks $f(\theta_m, \Psi_{m} )$

*   Calculate subtask output $y_m = f(\theta_m, \Psi_{m})$  and evaluate the 
given
genotype  though the loss function  $ E  = 
\frac{1}{T}  \sum_{t=1}^T 
L_t   $, where $L_t$ is given in Equation \ref{eq:loss}. \\

 }
 
 
\For{  each Individual $j$ in $S_m$  }{
 * Create new offspring via evolutionary operators such 
selection,  crossover and mutation\\
 
}

* Update $S_m$
\;
  
 
   
  
  }
  
  }
 }
 
 * Test the obtained solution 
 
 \For{  each module $m$  }{

 1.  Load best solution $S_{best}$ from   $S_{m}$. \;
 
 2. Encode   into the respective
weight space for the subtask $\Phi_m  = [\omega_m, \upsilon_m]$.\;

3. Calculate loss $E$ based on the test dataset.
 
  

 }
 
 
 \caption{ Co-evolutionary multi-task learning }
 
\label{alg:one}
"
2,1703.01887,"[!htb] 
 \smaller
 \textbf{Parameters: }
  Subtask $m$,   module subtask solution $X$  , Input $I$, Hidden $H$  and 
Output $O$ \\  
 
 
$b = 1$; ( Base task)

Step 1 



\For{each $j=1$   to $H_{b}$ } {
\For{each  $i=1$   to $I_{b}$ } {

    $W_{ij}  = X_t$  \; \\
    $t = t+1$ \; 
 }
 }  

 Step 2 

\For{each $k=1$  to $O_{b}$ } {
\For{each $j=1$   to $H_{b}$} {

    $W_{jk}  = X_t$  \; \\
    $t = t+1$ \; 
 }
 } 
 
  
  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
   
   \If{m $>=$ 2}{ 
   
  Step 3 
   
   
\For{each  $j= H_{m -1} + 1$ to $H_{m}$ } {
\For{each  $i=1$   to $I_{m}$ } {

       $W_{ij}  = X_t$  \; \\
    $t = t+1$ \; 
 }
 }  
 
 Step 4
   
\For{each  $j=1$   to $H_{m}$ -1 } {
\For{each  $i=I_{m-1}+1$ to $I_{m}$} {

        $W_{ij}  = X_t$  \; \\
    $t = t+1$ \; 
 }
 } 
  
   Step 5 
    
  \For{each $k=1$  to $O_{m}$ } {
   \For{each $j=H_{m-1}+ 1$   to $H_{m}$} {

      $W_{j,k}  = X_t$  \; \\
     $t = t+1$ \; 
   }
   } 
  
     
   }
    
   
 
 
 \caption{Transfer of knowledge from previous subtasks}
 
\label{alg:two}
"
3,1706.03922,"
\caption{Robust\_1NN($S_n$, $r$, $\Delta$, $\delta$, $x$)}
\begin{algorithmic}
\FOR {$(x_i, y_i)\in S_n$}
\STATE {$f(x_i) = \mbox{Confident-Label}(S_n, \Delta, \delta, x_i)$}
\ENDFOR
\STATE{$S_{RED}=\emptyset$}
\FOR {$(x_i, y_i) \in S_n$}
\IF {$f(x_i) = y_i$ and $f(x_i) = f(x_j)$ for all $x_j$ such that $\| x_i - x_j \| \leq r$ and $(x_j, y_j) \in S_n$}
\STATE {$S_{RED} = S_{RED}\bigcup \{(x_i, y_i)\}$}
\ENDIF
\ENDFOR
\STATE {Let $S'$ be the largest $2r$-separated subset of $S_n$ that contains all points in $S_{RED}$.}
\RETURN new training set $S'$
\end{algorithmic}
\label{alg:robust_1nn}
"
4,1706.03922,"
\caption{Confident-Label($S_n$, $\Delta$, $\delta$, $x$)}
\begin{algorithmic}
\STATE{$k_n = 3\log(2n/\delta)/\Delta^2$}
\STATE{$\bar{y} = (1/k_n)\sum_{i=1}^{k_n}Y^{(i)}(x)$}
\IF {$\bar{y} \in [ \frac{1}{2} -\Delta, \frac{1}{2} + \Delta]$}
\RETURN{$\bot$}
\ELSE
\RETURN{$\frac{1}{2} sgn(\bar{y} - \frac{1}{2}) + \frac{1}{2}$}
\ENDIF
\end{algorithmic}
\label{alg:confident_label}
"
5,1805.06837,"[ht]
	\caption{Recover the word-topic matrix $A$ from $\M$}\label{alg}
	\begin{algorithmic}[1]
		\Require true word-document frequency matrix $\M\in\RR^{p\times n}$
		\Procedure{Top}{$\M$}
		\State compute $\Theta = n^{-1}\M\M^T$ and $R$ from (\ref{def_R})
		\State recover $\I$ via \textsc{FindAnchorWords}$(R)$
		\State construct $L = \{i_1, \ldots, i_K\}$ by choosing any $i_k \in I_k$, for $k\in [K]$
		\State compute $B_I$ from (\ref{bj}) and $B_J$ from (\ref{eq_iden_BI})
		\State recover $A$ by normalizing $B$ to unit column sums
		\State\Return $\I$ and $A$
		\EndProcedure
		\Statex
		\Procedure{FindAnchorWords}{$R$}
		\State initialize $\I = \emptyset$ and $
		\mathcal{P} = [p]$
		\While{$\mathcal{P}\ne \emptyset$} 
		\State take any $i\in \mathcal{P} $, compute $S_i$ and $T_i$ from (\ref{comp})
		\If {$\exists j\in S_i$ s.t. $T_i \ne T_j$}
		\State $\mathcal{P} = \mathcal{P} \setminus \{i\}$
		\Else 
		\State {$\mathcal{P} = \mathcal{P} \setminus S_i$ and $S_i \in \I$}
		\EndIf
		\EndWhile
		\State\Return $\I$
		\EndProcedure
	\end{algorithmic}
"
6,1805.06837,"[ht]
	\caption{Estimate the partition of the anchor words $\I$ by $\wh \I$}\label{alg1}
	\begin{algorithmic}[1]
		\Require matrix $\wh R\in\RR^{p\times p}$, $C_1$ and $Q\in\RR^{p\times p}$ such that $Q[j,\ell] := C_1\delta_{j\ell}$ 
		\Procedure{FindAnchorWords}{$\wh R$, $Q$}
		\State initialize $\wh \I = \emptyset$
		\For{$i\in [p]$} 
		\State $ \wh a_i = \argmax_{1\le j\le p}\wh R_{ij}$
		%\{j\in [p]: \wh R_ {ij}\ge \wh R_{il}, \forall\ l\in [p]\}$.
		\State set $\wh I^{(i)} =  \{\ell\in [p]: \wh R_{i\wh a_i}-\wh R_{il} \le Q[i,\wh a_i]+ Q[i,\ell]\}$ and $\textsc{Anchor}(i) = \textsc{True}$
		\For {$j \in \wh I^{(i)}$}
		\State $\wh a_j = \argmax_{1\le k\le p}\wh R_{jk}$
		\If {$\Bigl|\wh R_{ij}-\wh R_{j\wh a_j}\Bigr| > Q[i,j] + Q[j, \wh a_j]$}   
		\State $\textsc{Anchor}(i) =\textsc{False}$
		\State \textbf{break}
		\EndIf	
		\EndFor
		\If {$\textsc{Anchor}(i) $}
		\State $\wh \I = \textsc{Merge}(\wh I^{(i)}$, $\wh \I$)
		\EndIf
		\EndFor
		\State\Return $\wh \I = \{ \wh I_1, \wh I_2, \ldots, \wh I_{\wh K}\}$ 
		\EndProcedure
		\Statex
		
		\Procedure{Merge}{$\wh I^{(i)}$, $\wh\I$}
		\For {$G \in \wh \I$}
		\If {$G \cap \wh I^{(i)}\ne \emptyset$} 
		\State replace $G$ in $\wh \I$ by $G\cap \wh I^{(i)}$
		\State\Return $\wh \I$
		\EndIf
		\EndFor
		\State {$\wh I^{(i)} \in \wh \I$}
		\State\Return $\wh \I$
		\EndProcedure
	\end{algorithmic}
"
7,1805.06837,"[H]
	\caption{Estimate the word-topic matrix $A$}\label{alg2}
	\begin{algorithmic}[1]
		\Require frequency data matrix $X\in\RR^{p\times n}$ with document lengths $N_1, \ldots, N_n$; two positive constants $C_0, C_1$ and positive integer $T$
		\Procedure{Top}{$X, N_1,\ldots, N_n; C_0, C_1$}
		\State compute $\wh \Theta$ from (\ref{est_Theta}) and $\wh R$ from (\ref{def_R_hat})
		\State compute $\wh \eta_{ij}$ and $Q[i, j]:=C_1 \wh\delta_{ij}$ from (\ref{delta3}) and (\ref{def_eta3}), for $i, j \in [p]$
		\State estimate $\I$ via \textsc{FindAnchorWords}$(\wh R, Q)$
		\For {$i = 1,\ldots, T$}
		\State randomly select $\wh L$ and solve $\wh \Omega$ from (\ref{obj_omega}) by using $\lambda = C_0\max_{i\in \wh L}\sum_{j\in \wh L}\wh \eta_{ij}$ in (\ref{constr_omega})
		\State estimate $B$ from (\ref{est_BI}) and (\ref{est_B})
		\State compute $\wh A^i$ from (\ref{est_A})
		\EndFor
		\State \Return $\wh \I = \{ \wh I_1, \wh I_2, \ldots, \wh I_{\wh K}\}$ and $\wh A = T^{-1}\sum_{i =1}^T\wh A^i$
		\EndProcedure
	\end{algorithmic}
"
8,1806.04743,"[H]
  \caption{Inference-Aware Neural Optimisation.}
  \begin{flushleft}
    {\it Input 1:} differentiable simulator or variational
    approximation $g(\boldsymbol{\theta})$. \\
    {\it Input 2:} initial parameter values $\boldsymbol{\theta}_s.$ \\
    {\it Input 3:} parameter of interest $\omega_0=\theta_k$.
     \\
    {\it Output:} learned summary statistic
      $\boldsymbol{s}(D; \boldsymbol{\phi})$.\\
 \end{flushleft}
 \begin{algorithmic}[1]
 \For{$i=1$ to $N$}
  \State{Sample a representative mini-batch $G_s$ from
  $g(\boldsymbol{\theta}_s)$.}
  \State{Compute differentiable summary statistic
    $\hat{\boldsymbol{s}}(G_s;\boldsymbol{\phi})$.}
  \State{Construct Asimov likelihood
    $\mathcal{L}_A(\boldsymbol{\theta}, \boldsymbol{\phi})$.}
  \State{Get information matrix inverse $I(\boldsymbol{\theta})^{-1}
  = \boldsymbol{H}_{\boldsymbol{\theta}}^{-1}(\log
  \mathcal{L}_A(\boldsymbol{\theta}, \boldsymbol{\phi}))$.}
  \State{Obtain loss
    $U= I_{kk}^{-1}(\boldsymbol{\theta}_s)$.}
  \State{Update network parameters $\boldsymbol{\phi} \rightarrow
  \textrm{SGD}(\nabla_{\boldsymbol{\phi}} U)$.}  
 \EndFor
 \end{algorithmic}
 \label{alg:simple_algorithm}
"
9,1806.02185,"[H]
\caption{Affine Invariant Frank-Wolfe}
  \label{algo:FW}
\begin{algorithmic}[1]
%
  \STATE \textbf{init} $q^{0} \in \conv(\cA)$, $\cS:=\{q^{0}\}$, \edit{and accuracy $\delta > 0$}
  \STATE \textbf{for} {$t=0\dots T$}
  \STATE \qquad Find $s^t := (\text{Approx-}) \lmo_\cA(\nabla f(q^{t}))$
  %
  %
  \STATE \qquad Variant 0:  $\gamma=\frac{2}{\edit{\delta }t+2}$\\
  \STATE \qquad Variant 1: $\gamma=\argmin_{\gamma\in[0,1]} f((1-\gamma)q^{t} + \gamma s^t )$ \\
  \STATE \qquad $q^{t+1}:= (1-\gamma)q^{t} + \gamma s^t$\\
  \STATE \qquad Variant 2: $\cS = \cS \cup s^t$\\
  \STATE \qquad\qquad\qquad $q^{t+1} = \argmin_{q\in\conv(\cS)} f(q)$
%
%
  %
  \STATE \textbf{end for}
\end{algorithmic}
"
