,id,eqn
0,1806.05559,"
   \mathcal{L} = -\sum^{n(1+m)}_{i=1} \Big(y_{i} \log \sigma(\mathbf{v}\mathbf{h}_{i} + b) + (1-y_{i}) \log (1-\sigma(\mathbf{v}\mathbf{h}_{i} + b))\Big).
"
1,1806.05559,"
  \hat{y}_{i} =
    \begin{cases}
      1 & \text{if}\ p(y_{i}=1|\mathbf{h}_{i}) \geq \rho, \\
      0 & \text{otherwise}.
    \end{cases}
"
2,1703.01887,"
  \Omega_m =[D_1, D_2,...D_{M}]
"
3,1703.01887," 
  \Psi_m = x[t], x[t- 1], ..., x[t - I_m] 
"
4,1703.01887," 
  L_t  = \sqrt {\frac{1}{M}  \sum_{m=1}^M 
\left(\hat{y}  -y_{m}\right)^2  }
\label{eq:error}
"
5,1703.01887,"  
  E  = \frac{1}{T}  \sum_{t=1}^T L_t   
  \label{eq:loss}
"
6,1806.04972,"
\log P(X)\geq E_{z\sim Q_{\theta}}[\log P_{\phi}(X|z)]-D[Q_{\theta}(z|x)||P(z)],
"
7,1806.04972,"
\max_{\theta, \phi} E_{z\sim Q_{\theta}}[\log P_{\phi}(X|z)]-D[Q_{\theta}(z|x)||P(z)],
"
8,1806.04972,"
q(z)=\int Q(z|x)P(x)dx 
"
9,1806.04972,"
\min_G \max_D E_{z\sim q(z|X)}[\log D(z)] + E_{z_{prior}\sim p(z_{prior})}
[\log(1-D(G(z)))]
"
10,1806.04972,"
\min_G \max_D [E_{z\sim q(z|X)}D(z) - E_{z_{prior}\sim p(z)}D(z_{prior})] + \lambda E_{z\sim q(z|X)}[(||{\nabla}_ {z}(D(z))||_2 - 1)^2] 
"
11,1806.04965,"
\begin{split}
	V_W & \defeq \{0, \ldots, W\} \times V,\ \ \ \overline{v} = (i,v) \in V_W \\
	E_W & \defeq \{((i,u),(j,v)) \in V_W \times V_W \ \ | \ \ (u,v) \in E \ \land \ j = i + R((u,v))\}.
\end{split}
"
12,1806.04965,"
	1 \leq n \leq |\mathcal{R}_{N}| \leq 2^{|E| - |E_{\text{rec}}|},
"
13,1806.04965,"\label{eq:sublemma_inference_update_tableau}
	T^\text{min}(\overline{v}) \geq T^\text{min}(p(1)_\text{src}) + |p|.
"
14,1806.04965," \label{ad:sub1}
	s_{R,p_R}(|p_R|) > s_{R^{\prime},p_R}(|p_{R^{\prime}}|).
"
15,1806.04965," \label{ad:sub2}
	i - s_{R,p_R}(|p_R|) \geq 0.
"
16,1806.04965,"\label{eq:definitionpath}
	I_G \defeq \{ v \in V \ | \ \nexists u \in V : (u,v) \in E\}.
"
17,1806.04965,"\label{eq:def_rollout}
\begin{split}
	V_W & \defeq \{0, \ldots, W\} \times V,\ \ \ \overline{v} = (i,v) \in V_W \\
	E_W & \defeq \{((i,u),(j,v)) \in V_W \times V_W \ \ | \ \ (u,v) \in E \ \land \ j = i + R((u,v))\}.
\end{split}
"
18,1806.04965,"\label{eq:lemma1}
	1 \leq n \leq |\mathcal{R}_{N}| \leq 2^{|E| - |E_{\text{rec}}|},
"
19,1806.04965,"\label{eq:examplesS}
	S_\text{full} \equiv 1; \ \ \ \ \ \ \ \ S_\text{init}((i,v)) = 1\ \Longleftrightarrow\ v \in I_{N} \lor i=0.
"
20,1806.04965,"\label{eq:definitionU}
	U:\Sigma_W \rightarrow \Sigma_W;\ \ \ \ \ \ \ \ U(S): V_W \rightarrow \{0,1\}
"
21,1806.04965,"\label{eq:tableau}
	T(\overline{v}) \ \ \defeq \ \ \max\limits_{p \in P_{\overline{v}}} |p| \ \ = \ \ \argmin_{n\in\mathbb{N}}\left\{U^{n}(S_\text{init})(\overline{v}) = 1 \right\} 
"
22,1806.04965,"\label{eq:factor}
	F(R) \defeq \max\limits_{\overline{v} \in V_1} T_{R_1}(\overline{v}).
"
23,1806.04856,"
			L(\theta;S)=\frac{1}{|S|}\sum_{(x,y)\in S}\log P(y|x; \theta). 
		"
24,1806.04856,"
			P(y|x; \theta) = \prod_{t=1}^{n} P(y_{t}|y_{<t},x;\theta),
		"
25,1806.04856,"
			\label{eq:eq3}
			Attention(q,k,v) = softmax(qk^T) v,
		"
26,1806.04856,"
			\label{eq:convolution}
			h_i^{l} =v([h_{i-r/2}^{l-1}, ... ,h_{i+r/2}^{l-1}] W^l   + b_w^l) + h_i^{l-1},
		"
27,1806.04856,"
			\begin{aligned}
			MH(q,k,v) &= {Concat}_{i=1}^s h_i(q,k,v), \\
			h_i(q,k,v) &= Att(\frac{qW_i^q}{\sqrt{d_s}}, kW_i^k, vW_i^v). \\
			\end{aligned}
		"
28,1806.04856,"
			\begin{aligned}
				FeedForward(x) = f_2(Max(0, f_1(x))), 
			\end{aligned}
		"
29,1806.04856,"
		\begin{aligned}
		ctx^{cc} &= Attention(q^c, k^c, v^c), & ctx^{ca} = Attention(q^c, k^a, v^a),\\
		ctx^{ac} &= Attention(q^a, k^c, v^c), & ctx^{aa} = Attention(q^a, k^a, v^a).
		\end{aligned}
		"
30,1806.04856,"
		\begin{aligned}
		g^c &= sigmoid([ctx^{cc}, ctx^{ca}] W^{c} + b^{c}),\\
		g^a &= sigmoid([ctx^{aa}, ctx^{ac}] W^{a} + b^{a}),\\
		ctx^{c} &= ctx^{cc} \cdot (1-g^c) + ctx^{ca} \cdot g^c,\\
		ctx^{a} &= ctx^{aa} \cdot (1-g^a) + ctx^{ac} \cdot g^a, 
		\end{aligned}
		"
31,1806.04856,"
			\begin{aligned}
				g^{o} &= sigmoid( [z^{c}, z^{a}] W^{o} + b^{o}),  \\
				z^{o} &= z^{c}\cdot(1-g^{o}) + z^{a} \cdot g^{o},\\
				P(y) &= softmax(z^{o} W^{s} + b^{s}),
			\end{aligned}
		"
32,1706.03922,"
g(x) = \left\{ \begin{array}{ll}
         1 & \mbox{if $\eta(x)=\Pr(y=1|x) \geq 1/2$};\\
         0 & \mbox{otherwise}.\end{array} \right.
"
33,1706.03922,"
\label{eqn:cd10}
\mu(B)    
\geq \frac{k}{n} + \frac{C_o}{n}
\left(d\log n + \log \frac{1}{\delta} + \sqrt{k\left(d\log n + \log\frac{1}{\delta}\right)}\right)
"
34,1706.03922,"
\hat{J}(B) \geq (k+1)/n'
"
35,1706.03922,"
\hat{J}(B) \geq p-2\beta_n\sqrt{p} - 2\beta^2_n
"
36,1706.03922,"
p - 2\beta_n\sqrt{p} - 2\beta^2_n \geq (k+1)/n,
"
37,1706.03922,"
\beta_n \leq \frac{-\sqrt{p}+\sqrt{3p+(k+1)/n}}{2},
"
38,1706.03922,"
(8/\sqrt{n})[(d+1)\ln(2n) + \ln(8/\delta) + (k+1)/8] \leq \sqrt{(k+1)p}
"
39,1706.03922,"
\label{eqn:complex}
(8/\sqrt{n})[(d+1)n^{1/4} + \ln(8/\delta) + (k+1)/8] \leq \sqrt{(k+1)p}.
"
40,1706.03922,"
\sqrt{(k+1)p}m^2 - 8(d+1)m - (8\ln(8/\delta)+(k+1)) \geq 0.
"
41,1706.03922,"
m \geq \frac{4(d+1) + \sqrt{16(d+1)^2 + 8(\ln(8/\delta)+k+1)}}{\sqrt{(k+1)p}}.
"
42,1706.03922,"
n = \max(10^4, m^4) \geq \max(10^4, c_{d,k,\delta}^4/[(k+1)^2p^2]).
"
43,1706.03922,"
\Pr[\exists i \in \{1, \cdots, m\}\ \mbox{such that}\ c_i(n) < k] \leq m\exp(-2n\mu_{\min}^2 / (k+1)^2),
"
44,1706.03922,"
\Pr[\mbox{$\exists i\in \{1,\cdots, m\}$} 
\mbox{s.t. $x_i$'s $k$ nearest neighbor all have label $1$}] 
 \geq 
1 - (1-\eta_{\min, +}^k)^m,
"
45,1706.03922,"
\Pr[\mbox{$\exists i\in \{1,\cdots, m\}$}
\mbox{ s.t. $x_i$'s $k$ nearest neighbor all have label $0$}]
\geq 1 - (1-\eta_{\min, -}^k)^m,
"
46,1711.08231,"
    s_{1}(y_1, y_2, \cdots,y_T|\bm{x};\theta) = \prod_{t=1}^{T}s(y_{t}|\bm{x};\theta)\label{eq1}
"
47,1711.08231,"
    s_{2}(y_1, y_2, \cdots,y_T|\bm{x};\theta) = \prod_{t=1}^{T}s(y_{t-1}y_{t}|\bm{x};\theta)\label{eq2}
"
48,1711.08231,"
    s_{n}(y_1, y_2, \cdots,y_T|\bm{x};\theta) = \prod_{t=1}^{T}s(y_{t-n+1} \cdots y_t|\bm{x};\theta)\label{eq3}
"
49,1711.08231,"
    \theta_{i} = \argmax_{\theta}s_{o_i}(y_1, y_2, \cdots,y_T|\bm{x};\theta) = \argmax_{\theta}\prod_{t=1}^{T}s(y_{t-o_i+1} \cdots y_{t}|\bm{x};\theta)\label{eq4}
"
50,1711.08231,"
\begin{split}
    y_1^*, y_2^*, \cdots,y_T^* &=  \argmax_{\bm{y}}s_{1}(y_1, y_2, \cdots,y_T|\bm{x};\theta_1) \times s_{2}(y_1, y_2, \cdots,y_T|\bm{x};\theta_2) \\
    &= \argmax_{\bm{y}}\prod_{t=1}^{T}s(y_{t}|\bm{x};\theta_1) \times s(y_{t-1},y_t|\bm{x};\theta_2)
\end{split}
"
51,1711.08231,"
\begin{split}
    y_1^*, y_2^*, \cdots,y_T^* &=  \argmax_{\bm{y}}\prod_{i=1}^{k}s_{o_i}(y_1, y_2, \cdots,y_T|\bm{x};\theta_i)\\
    &= \argmax_{\bm{y}}\prod_{i=1}^{k}\prod_{t=1}^{T}s(y_{t-o_i+1} \cdots y_{t}|\bm{x};\theta_i)\label{eq6}
\end{split}
"
52,1806.05173,"
\mathcal{R}_{S_i} = \{I_{ij_1}, I_{ij_2}, \ldots, I_{ij_r} \},
"
53,1806.05173,"
\mathcal{R}_{C_j} = \{I_{i_1j}, I_{i_2j}, \ldots, I_{i_rj} \}.
"
54,1806.05173,"
F_{ij} = S_i\textbf{W}C_j,
"
